participantID,speed,trial,side_foot_strike1,time_foot_strike1,side_foot_strike2,time_foot_strike2,side_foot_off1,time_foot_off1,side_foot_off2,time_foot_off2,side_foot_strike3,time_foot_strike3,side_foot_strike4,time_foot_strike4,side_foot_off3,time_foot_off3
2014001,1,1,l,0.049999848,l,2.600000143,r,0.389999986,r,2.980000257,r,1.329999566,r,3.810000181,l,1.700000405
2014001,1,2,l,0.050000153,l,2.859999657,r,0.480000466,r,3.289999962,r,1.390000343,r,4.199999809,l,1.789999962
2014001,1,3,l,0.050000343,l,3.279999971,r,0.750000179,r,3.939999819,r,1.670000196,r,4.840000153,l,2.269999743
2014001,1,4,l,0.050000153,l,3.859999657,r,0.650000036,r,4.81000042,r,2.029999733,r,5.630000114,l,2.920000076
2014001,1,5,l,0.049999829,l,3.779999733,r,0.819999814,r,4.569999695,r,2.039999962,r,5.430000305,l,2.890000343
2014001,2,1,r,0.049999867,r,1.850000024,l,0.390000015,l,2.24000001,l,0.960000217,l,2.720000029,r,1.319999814
2014001,2,2,l,0.049999941,l,2.029999971,r,0.419999838,r,2.439999819,r,1.049999952,r,3.069999933,l,1.419999838
2014001,2,3,l,0.050000019,l,2.410000086,r,0.559999764,r,2.839999914,r,1.220000148,r,3.549999952,l,1.7299999
2014001,2,4,l,0.050000049,l,2.730000019,r,0.560000062,r,3.339999676,r,1.389999986,r,4.069999695,l,2.009999752
2014001,2,5,r,0.049999923,r,1.939999819,l,0.370000094,l,2.319999933,l,1.020000219,l,2.890000105,r,1.350000143
2014001,3,1,l,0.050000038,l,1.2299999,r,0.199999899,r,1.419999957,r,0.649999917,r,1.860000014,l,0.809999764
2014001,3,2,r,0.049999967,r,1.219999909,l,0.210000053,l,1.389999986,l,0.629999995,l,1.810000062,r,0.800000072
2014001,3,3,r,0.050000004,r,1.2299999,l,0.199999988,l,1.370000005,l,0.640000045,l,1.769999862,r,0.820000112
2014001,3,4,l,0.049999952,l,1.160000086,r,0.210000038,r,1.309999943,r,0.599999905,r,1.720000029,l,0.74000001
2014001,3,5,r,0.049999923,r,1.120000124,l,0.150000066,l,1.250000238,l,0.589999914,l,1.660000086,r,0.730000019
